dataset,mode,lang,axis,metric,mean,median,std,n_queries
hard_queries,rrf,en,abbrev_ambiguous,facet_conjunctive_macro,0.7222222222222222,,,6
hard_queries,rrf,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,,,2
hard_queries,rrf,en,abbrev_standard,facet_present_macro,0.9444444444444445,,,6
hard_queries,rrf,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,rrf,en,abbrev_tcga,facet_present_macro,0.9333333333333333,,,5
hard_queries,rrf,en,abbrev_tcga,facet_conjunctive_macro,0.8,,,5
hard_queries,rrf,en,abbrev_tcga,exclusion_clean_at_k,1.0,,,1
hard_queries,rrf,en,cardinality_and,facet_present_macro,0.8333333333333334,,,6
hard_queries,rrf,en,cardinality_and,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,rrf,en,celltype_x_tissue,facet_present_macro,0.5,,,2
hard_queries,rrf,en,celltype_x_tissue,facet_conjunctive_macro,0.5,,,2
hard_queries,rrf,en,dose_response,facet_present_macro,1.0,,,1
hard_queries,rrf,en,dose_response,facet_conjunctive_macro,1.0,,,1
hard_queries,rrf,en,dual_disease,facet_present_macro,0.75,,,2
hard_queries,rrf,en,dual_disease,facet_conjunctive_macro,0.5,,,2
hard_queries,rrf,en,exclusion_extended,facet_present_macro,0.9444444444444445,,,6
hard_queries,rrf,en,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,rrf,en,exclusion_extended,exclusion_clean_at_k,0.75,,,6
hard_queries,rrf,en,lessons_wildcard,facet_present_macro,0.8333333333333334,,,6
hard_queries,rrf,en,lessons_wildcard,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,rrf,en,longitudinal,facet_present_macro,0.5,,,1
hard_queries,rrf,en,longitudinal,facet_conjunctive_macro,0.5,,,1
hard_queries,rrf,en,multi_omics,facet_present_macro,0.3333333333333333,,,2
hard_queries,rrf,en,multi_omics,facet_conjunctive_macro,0.3333333333333333,,,2
hard_queries,rrf,en,multi_organism,facet_present_macro,1.0,,,2
hard_queries,rrf,en,multi_organism,facet_conjunctive_macro,1.0,,,2
hard_queries,rrf,en,negation,facet_present_macro,0.8333333333333333,,,2
hard_queries,rrf,en,negation,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,rrf,en,negation,exclusion_clean_at_k,0.8,,,2
hard_queries,rrf,en,paired_multi_tissue,facet_present_macro,0.8333333333333333,,,2
hard_queries,rrf,en,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,,,2
hard_queries,rrf,ko,ALL,facet_present_macro,0.7670068027210885,1.0,0.285207681738116,49
hard_queries,rrf,ko,ALL,facet_conjunctive_macro,0.7431972789115646,0.75,0.3066888184721048,49
hard_queries,rrf,ko,ALL,exclusion_clean_at_k,0.7454545454545454,0.8,0.24629485789352848,11
hard_queries,rrf,ko,abbrev_ambiguous,facet_present_macro,0.611111111111111,,,6
hard_queries,rrf,ko,abbrev_ambiguous,facet_conjunctive_macro,0.611111111111111,,,6
hard_queries,rrf,ko,abbrev_ambiguous,exclusion_clean_at_k,1.0,,,2
hard_queries,rrf,ko,abbrev_standard,facet_present_macro,0.8333333333333334,,,6
hard_queries,rrf,ko,abbrev_standard,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,rrf,ko,abbrev_tcga,facet_present_macro,0.8,,,5
hard_queries,rrf,ko,abbrev_tcga,facet_conjunctive_macro,0.8,,,5
hard_queries,rrf,ko,abbrev_tcga,exclusion_clean_at_k,0.8,,,1
hard_queries,rrf,ko,cardinality_and,facet_present_macro,0.8888888888888888,,,6
hard_queries,rrf,ko,cardinality_and,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,rrf,ko,celltype_x_tissue,facet_present_macro,0.625,,,2
hard_queries,rrf,ko,celltype_x_tissue,facet_conjunctive_macro,0.625,,,2
hard_queries,rrf,ko,dose_response,facet_present_macro,1.0,,,1
hard_queries,rrf,ko,dose_response,facet_conjunctive_macro,1.0,,,1
hard_queries,rrf,ko,dual_disease,facet_present_macro,0.75,,,2
hard_queries,rrf,ko,dual_disease,facet_conjunctive_macro,0.5,,,2
hard_queries,rrf,ko,exclusion_extended,facet_present_macro,0.9444444444444445,,,6
hard_queries,rrf,ko,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,rrf,ko,exclusion_extended,exclusion_clean_at_k,0.6333333333333333,,,6
hard_queries,rrf,ko,lessons_wildcard,facet_present_macro,0.7777777777777778,,,6
hard_queries,rrf,ko,lessons_wildcard,facet_conjunctive_macro,0.7777777777777778,,,6
hard_queries,rrf,ko,longitudinal,facet_present_macro,0.5,,,1
hard_queries,rrf,ko,longitudinal,facet_conjunctive_macro,0.5,,,1
hard_queries,rrf,ko,multi_omics,facet_present_macro,0.3333333333333333,,,2
hard_queries,rrf,ko,multi_omics,facet_conjunctive_macro,0.3333333333333333,,,2
hard_queries,rrf,ko,multi_organism,facet_present_macro,0.5,,,2
hard_queries,rrf,ko,multi_organism,facet_conjunctive_macro,0.5,,,2
hard_queries,rrf,ko,negation,facet_present_macro,0.8333333333333333,,,2
hard_queries,rrf,ko,negation,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,rrf,ko,negation,exclusion_clean_at_k,0.8,,,2
hard_queries,rrf,ko,paired_multi_tissue,facet_present_macro,0.8333333333333333,,,2
hard_queries,rrf,ko,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,,,2
