dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,dense_only,en,dose_response,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,en,dose_response,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,en,dual_disease,facet_present_macro,0.75,0.75,0.25,2,2,2,0,0
hard_queries,dense_only,en,dual_disease,facet_conjunctive_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,dense_only,en,exclusion_extended,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,dense_only,en,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,dense_only,en,exclusion_extended,exclusion_clean_at_k,0.8833333333333333,1.0,0.21921577396609843,6,6,6,0,0
hard_queries,dense_only,en,lessons_wildcard,facet_present_macro,0.8333333333333334,1.0,0.23570226039551584,6,6,6,0,0
hard_queries,dense_only,en,lessons_wildcard,facet_conjunctive_macro,0.8333333333333334,1.0,0.23570226039551584,6,6,6,0,0
hard_queries,dense_only,en,longitudinal,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,en,longitudinal,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,dense_only,en,multi_omics,facet_present_macro,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,2,2,0,0
hard_queries,dense_only,en,multi_omics,facet_conjunctive_macro,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,2,2,0,0
hard_queries,dense_only,en,multi_organism,facet_present_macro,1.0,1.0,0.0,2,2,2,0,0
hard_queries,dense_only,en,multi_organism,facet_conjunctive_macro,1.0,1.0,0.0,2,2,2,0,0
hard_queries,dense_only,en,negation,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,dense_only,en,negation,facet_conjunctive_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
